participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.accepted_offer,player.payoff_this_round,player.end_time,group.id_in_subsession,group.last_offer_id,subsession.round_number,subsession.start_time,subsession.expiry,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,vn8gqjnw,,0,0,45,,,,0,,,0.0,3,,0.0,0,0,inf,1,0,1,inf,inf,e5te6pxl,,,,,1
2,40z23fb0,,0,0,45,,,,0,,,0.0,2,,0.0,0,0,inf,1,0,1,inf,inf,e5te6pxl,,,,,1
3,gu2dkpsr,,0,0,45,,,,0,,,0.0,1,,0.0,0,0,inf,1,0,1,inf,inf,e5te6pxl,,,,,1
1,vn8gqjnw,,0,0,45,,,,0,,,0.0,2,,0.0,0,0,inf,1,0,2,inf,inf,e5te6pxl,,,,,1
2,40z23fb0,,0,0,45,,,,0,,,0.0,3,,0.0,0,0,inf,1,0,2,inf,inf,e5te6pxl,,,,,1
3,gu2dkpsr,,0,0,45,,,,0,,,0.0,1,,0.0,0,0,inf,1,0,2,inf,inf,e5te6pxl,,,,,1
1,vn8gqjnw,,0,0,45,,,,0,,,0.0,3,,0.0,0,0,inf,1,0,3,inf,inf,e5te6pxl,,,,,1
2,40z23fb0,,0,0,45,,,,0,,,0.0,1,,0.0,0,0,inf,1,0,3,inf,inf,e5te6pxl,,,,,1
3,gu2dkpsr,,0,0,45,,,,0,,,0.0,2,,0.0,0,0,inf,1,0,3,inf,inf,e5te6pxl,,,,,1
1,vn8gqjnw,,0,0,45,,,,0,,,0.0,1,,0.0,0,0,inf,1,0,4,inf,inf,e5te6pxl,,,,,1
2,40z23fb0,,0,0,45,,,,0,,,0.0,3,,0.0,0,0,inf,1,0,4,inf,inf,e5te6pxl,,,,,1
3,gu2dkpsr,,0,0,45,,,,0,,,0.0,2,,0.0,0,0,inf,1,0,4,inf,inf,e5te6pxl,,,,,1
1,vn8gqjnw,,0,0,45,,,,0,,,0.0,2,,0.0,0,0,inf,1,0,5,inf,inf,e5te6pxl,,,,,1
2,40z23fb0,,0,0,45,,,,0,,,0.0,1,,0.0,0,0,inf,1,0,5,inf,inf,e5te6pxl,,,,,1
3,gu2dkpsr,,0,0,45,,,,0,,,0.0,3,,0.0,0,0,inf,1,0,5,inf,inf,e5te6pxl,,,,,1
1,vn8gqjnw,,0,0,45,,,,0,,,0.0,3,,0.0,0,0,inf,1,0,6,inf,inf,e5te6pxl,,,,,1
2,40z23fb0,,0,0,45,,,,0,,,0.0,2,,0.0,0,0,inf,1,0,6,inf,inf,e5te6pxl,,,,,1
3,gu2dkpsr,,0,0,45,,,,0,,,0.0,1,,0.0,0,0,inf,1,0,6,inf,inf,e5te6pxl,,,,,1
1,4bbuo5ay,,0,0,45,,,,0,,,0.0,3,,0.0,0,0,inf,1,0,1,inf,inf,qs4xnsyl,,,,,1
2,8wsn6r2x,,0,0,45,,,,0,,,0.0,1,,0.0,0,0,inf,1,0,1,inf,inf,qs4xnsyl,,,,,1
3,akyusd70,,0,0,45,,,,0,,,0.0,2,,0.0,0,0,inf,1,0,1,inf,inf,qs4xnsyl,,,,,1
1,4bbuo5ay,,0,0,45,,,,0,,,0.0,1,,0.0,0,0,inf,1,0,2,inf,inf,qs4xnsyl,,,,,1
2,8wsn6r2x,,0,0,45,,,,0,,,0.0,2,,0.0,0,0,inf,1,0,2,inf,inf,qs4xnsyl,,,,,1
3,akyusd70,,0,0,45,,,,0,,,0.0,3,,0.0,0,0,inf,1,0,2,inf,inf,qs4xnsyl,,,,,1
1,4bbuo5ay,,0,0,45,,,,0,,,0.0,2,,0.0,0,0,inf,1,0,3,inf,inf,qs4xnsyl,,,,,1
2,8wsn6r2x,,0,0,45,,,,0,,,0.0,3,,0.0,0,0,inf,1,0,3,inf,inf,qs4xnsyl,,,,,1
3,akyusd70,,0,0,45,,,,0,,,0.0,1,,0.0,0,0,inf,1,0,3,inf,inf,qs4xnsyl,,,,,1
1,4bbuo5ay,,0,0,45,,,,0,,,0.0,2,,0.0,0,0,inf,1,0,4,inf,inf,qs4xnsyl,,,,,1
2,8wsn6r2x,,0,0,45,,,,0,,,0.0,3,,0.0,0,0,inf,1,0,4,inf,inf,qs4xnsyl,,,,,1
3,akyusd70,,0,0,45,,,,0,,,0.0,1,,0.0,0,0,inf,1,0,4,inf,inf,qs4xnsyl,,,,,1
1,4bbuo5ay,,0,0,45,,,,0,,,0.0,3,,0.0,0,0,inf,1,0,5,inf,inf,qs4xnsyl,,,,,1
2,8wsn6r2x,,0,0,45,,,,0,,,0.0,1,,0.0,0,0,inf,1,0,5,inf,inf,qs4xnsyl,,,,,1
3,akyusd70,,0,0,45,,,,0,,,0.0,2,,0.0,0,0,inf,1,0,5,inf,inf,qs4xnsyl,,,,,1
1,4bbuo5ay,,0,0,45,,,,0,,,0.0,3,,0.0,0,0,inf,1,0,6,inf,inf,qs4xnsyl,,,,,1
2,8wsn6r2x,,0,0,45,,,,0,,,0.0,2,,0.0,0,0,inf,1,0,6,inf,inf,qs4xnsyl,,,,,1
3,akyusd70,,0,0,45,,,,0,,,0.0,1,,0.0,0,0,inf,1,0,6,inf,inf,qs4xnsyl,,,,,1
1,rggxlrld,BLU_20,0,45,45,survey,Completion,2024-05-14 08:36:05.737249,1,,,238.0,3,,0.0,2,33,1715677540.9659488,1,2,1,1715677239.6267822,1715677539.626809,ykdzfw2h,,,,,0
2,zu5rxx67,BLU_30,0,45,45,survey,Completion,2024-05-14 08:36:05.755470,1,,,256.0,3,,0.0,3,33,1715677540.8971708,2,6,1,1715677239.6267822,1715677539.626809,ykdzfw2h,,,,,0
3,77a6ed9a,BLU_26,0,45,45,survey,Completion,2024-05-14 08:36:05.762273,1,,,215.0,2,,0.0,2,33,1715677540.1362245,1,2,1,1715677239.6267822,1715677539.626809,ykdzfw2h,,,,,0
4,a8gna0pr,BLU_18,0,45,45,survey,Completion,2024-05-14 08:36:05.768988,1,,,265.0,2,,0.0,3,33,1715677540.455939,2,6,1,1715677239.6267822,1715677539.626809,ykdzfw2h,,,,,0
5,ry0nc01c,BLU_10,0,45,45,survey,Completion,2024-05-14 08:36:05.775962,1,,,248.0,1,,0.0,2,34,1715677540.4287193,1,2,1,1715677239.6267822,1715677539.626809,ykdzfw2h,,,,,0
6,iw6538t5,BLU_29,0,45,45,survey,Completion,2024-05-14 08:36:05.782487,1,,,184.0,1,,0.0,3,33,1715677540.1523314,2,6,1,1715677239.6267822,1715677539.626809,ykdzfw2h,,,,,0
7,p8983tf0,BLU_04,0,45,45,survey,Completion,2024-05-14 08:36:05.788757,1,,,288.0,1,,0.0,1,34,1715677540.751339,3,1,1,1715677239.6267822,1715677539.626809,ykdzfw2h,,,,,0
8,6ul57k0b,BLU_00,0,45,45,survey,Completion,2024-05-14 08:36:05.805492,1,,,239.0,3,,0.0,1,30,1715677541.168752,4,10,1,1715677239.6267822,1715677539.626809,ykdzfw2h,,,,,0
9,3o2kadzu,BLU_15,0,45,45,survey,Completion,2024-05-14 08:36:05.811673,1,,,277.0,3,,0.0,1,33,1715677540.4954326,3,1,1,1715677239.6267822,1715677539.626809,ykdzfw2h,,,,,0
10,maxxa0b9,BLU_14,0,45,45,survey,Completion,2024-05-14 08:36:05.818182,1,,,218.0,2,,0.0,1,30,1715677541.0820076,4,10,1,1715677239.6267822,1715677539.626809,ykdzfw2h,,,,,0
11,wmkt6s6s,BLU_01,0,45,45,survey,Completion,2024-05-14 08:36:05.824685,1,,,261.0,2,,0.0,1,33,1715677540.274392,3,1,1,1715677239.6267822,1715677539.626809,ykdzfw2h,,,,,0
12,7ikal8ir,BLU_31,0,45,45,survey,Completion,2024-05-14 08:36:05.831154,1,,,260.0,1,,0.0,1,40,1715677541.1560059,4,10,1,1715677239.6267822,1715677539.626809,ykdzfw2h,,,,,0
