session_code,id_in_session,participant_code,channel,nickname,body,timestamp
ykdzfw2h,35,5ubvbqrt,3-live_bargaining-107,B1,sali,1715677247.7443311
ykdzfw2h,17,69gxbqoq,3-live_bargaining-101,B1,hey,1715677251.0110972
ykdzfw2h,31,u53icqui,3-live_bargaining-107,B2,hii,1715677252.0612404
ykdzfw2h,15,brcpj4zp,3-live_bargaining-101,A,hi,1715677255.3125536
ykdzfw2h,13,6whe0107,3-live_bargaining-101,B2,hi,1715677259.3709517
ykdzfw2h,17,69gxbqoq,3-live_bargaining-101,B1,how will we do it,1715677261.4981134
ykdzfw2h,18,275e2ui1,3-live_bargaining-102,B1,hiiiiiiiiiiiiiiiiiiiiii,1715677262.6501098
ykdzfw2h,33,8v2hfg8c,3-live_bargaining-107,A,hi,1715677263.3803313
ykdzfw2h,14,10hb91v0,3-live_bargaining-102,A,hiiiii,1715677266.8460977
ykdzfw2h,31,u53icqui,3-live_bargaining-107,B2,"I'd propose 34, 33, 33?",1715677268.0524213
ykdzfw2h,16,wr4oyk0w,3-live_bargaining-102,B2,hey,1715677268.4322338
ykdzfw2h,7,p8983tf0,3-live_bargaining-99,A,groups  3 members get 100 so we really need all 3 of us in the group ,1715677280.4478827
ykdzfw2h,25,dlal68fq,3-live_bargaining-105,B2,Hi I propose we do equal for everyone,1715677282.2734013
ykdzfw2h,9,3o2kadzu,3-live_bargaining-99,B2,sounds good,1715677282.4593363
ykdzfw2h,13,6whe0107,3-live_bargaining-101,B2,maybe one proposal from everyone first,1715677284.4577127
ykdzfw2h,29,qmykdy6l,3-live_bargaining-105,B1,I agree,1715677291.5621536
ykdzfw2h,33,8v2hfg8c,3-live_bargaining-107,A,I propose 40-30-30,1715677295.1219435
ykdzfw2h,27,smddi2bm,3-live_bargaining-105,A,I agree too,1715677299.0815353
ykdzfw2h,5,ry0nc01c,3-live_bargaining-97,A,Lets be fair and do the second one,1715677299.5616372
ykdzfw2h,30,aykj1i6i,3-live_bargaining-106,A,I want 40,1715677300.197772
ykdzfw2h,33,8v2hfg8c,3-live_bargaining-107,A,Do you agree?,1715677301.6730707
ykdzfw2h,25,dlal68fq,3-live_bargaining-105,B2,perfect,1715677304.5282888
ykdzfw2h,9,3o2kadzu,3-live_bargaining-99,B2,woohoo,1715677304.562222
ykdzfw2h,5,ry0nc01c,3-live_bargaining-97,A,I would also suggest this,1715677307.4650147
ykdzfw2h,24,caq3vqi1,3-live_bargaining-104,A,hmmm,1715677311.1160626
ykdzfw2h,7,p8983tf0,3-live_bargaining-99,A,ez,1715677312.414398
ykdzfw2h,35,5ubvbqrt,3-live_bargaining-107,B1,no,1715677315.171957
ykdzfw2h,22,93vk2elh,3-live_bargaining-104,B1,"ID 1 and 3 are identical, let's take 1. A, we won't go with ID 2, sorry.",1715677317.3667243
ykdzfw2h,20,tzz523nu,3-live_bargaining-104,B2,"Hey guys, i prefer ID 1 and 3",1715677318.3704095
ykdzfw2h,26,icm5jw1w,3-live_bargaining-106,B2,We should split evenly,1715677318.7261467
ykdzfw2h,16,wr4oyk0w,3-live_bargaining-102,B2,Even split?,1715677320.8747907
ykdzfw2h,28,gb3p43e3,3-live_bargaining-106,B1,agree,1715677325.9256341
ykdzfw2h,11,wmkt6s6s,3-live_bargaining-99,B1,"Yes, if not only 10 points with 2 people",1715677329.2193997
ykdzfw2h,32,2175hu1w,3-live_bargaining-108,B2,Hello!,1715677329.851616
ykdzfw2h,30,aykj1i6i,3-live_bargaining-106,A,"No, you cannot form a group without me",1715677330.0443413
ykdzfw2h,29,qmykdy6l,3-live_bargaining-105,B1,cool :),1715677332.7034955
ykdzfw2h,25,dlal68fq,3-live_bargaining-105,B2,Nice :),1715677333.4958522
ykdzfw2h,11,wmkt6s6s,3-live_bargaining-99,B1,so no point,1715677333.707212
ykdzfw2h,30,aykj1i6i,3-live_bargaining-106,A,your choice,1715677335.49222
ykdzfw2h,31,u53icqui,3-live_bargaining-107,B2,"I mean, we all only make 100 together if we all are in one group",1715677337.3219304
ykdzfw2h,1,rggxlrld,3-live_bargaining-97,B2,good for me,1715677337.4758227
ykdzfw2h,28,gb3p43e3,3-live_bargaining-106,B1,then 0 everyone,1715677337.6766212
ykdzfw2h,3,77a6ed9a,3-live_bargaining-97,B1,i also think so is more fair,1715677338.6008158
