participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,vn8gqjnw,,0,0,45,,,,0,,,0.0,1,,0.0,1,1,e5te6pxl,,,,,1
2,40z23fb0,,0,0,45,,,,0,,,0.0,2,,0.0,1,1,e5te6pxl,,,,,1
3,gu2dkpsr,,0,0,45,,,,0,,,0.0,3,,0.0,1,1,e5te6pxl,,,,,1
1,4bbuo5ay,,0,0,45,,,,0,,,0.0,1,,0.0,1,1,qs4xnsyl,,,,,1
2,8wsn6r2x,,0,0,45,,,,0,,,0.0,2,,0.0,1,1,qs4xnsyl,,,,,1
3,akyusd70,,0,0,45,,,,0,,,0.0,3,,0.0,1,1,qs4xnsyl,,,,,1
1,rggxlrld,BLU_20,0,45,45,survey,Completion,2024-05-14 08:36:05.737249,1,,,238.0,1,,0.0,1,1,ykdzfw2h,,,,,0
2,zu5rxx67,BLU_30,0,45,45,survey,Completion,2024-05-14 08:36:05.755470,1,,,256.0,2,,0.0,1,1,ykdzfw2h,,,,,0
3,77a6ed9a,BLU_26,0,45,45,survey,Completion,2024-05-14 08:36:05.762273,1,,,215.0,3,,0.0,1,1,ykdzfw2h,,,,,0
4,a8gna0pr,BLU_18,0,45,45,survey,Completion,2024-05-14 08:36:05.768988,1,,,265.0,4,,0.0,1,1,ykdzfw2h,,,,,0
5,ry0nc01c,BLU_10,0,45,45,survey,Completion,2024-05-14 08:36:05.775962,1,,,248.0,5,,0.0,1,1,ykdzfw2h,,,,,0
6,iw6538t5,BLU_29,0,45,45,survey,Completion,2024-05-14 08:36:05.782487,1,,,184.0,6,,0.0,1,1,ykdzfw2h,,,,,0
7,p8983tf0,BLU_04,0,45,45,survey,Completion,2024-05-14 08:36:05.788757,1,,,288.0,7,,0.0,1,1,ykdzfw2h,,,,,0
8,6ul57k0b,BLU_00,0,45,45,survey,Completion,2024-05-14 08:36:05.805492,1,,,239.0,8,,0.0,1,1,ykdzfw2h,,,,,0
9,3o2kadzu,BLU_15,0,45,45,survey,Completion,2024-05-14 08:36:05.811673,1,,,277.0,9,,0.0,1,1,ykdzfw2h,,,,,0
10,maxxa0b9,BLU_14,0,45,45,survey,Completion,2024-05-14 08:36:05.818182,1,,,218.0,10,,0.0,1,1,ykdzfw2h,,,,,0
11,wmkt6s6s,BLU_01,0,45,45,survey,Completion,2024-05-14 08:36:05.824685,1,,,261.0,11,,0.0,1,1,ykdzfw2h,,,,,0
12,7ikal8ir,BLU_31,0,45,45,survey,Completion,2024-05-14 08:36:05.831154,1,,,260.0,12,,0.0,1,1,ykdzfw2h,,,,,0
13,6whe0107,BLU_05,0,45,45,survey,Completion,2024-05-14 08:36:05.837718,1,,,273.0,13,,0.0,1,1,ykdzfw2h,,,,,0
14,10hb91v0,BLU_34,0,45,45,survey,Completion,2024-05-14 08:36:05.843954,1,,,248.0,14,,0.0,1,1,ykdzfw2h,,,,,0
15,brcpj4zp,BLU_06,0,45,45,survey,Completion,2024-05-14 08:36:05.850512,1,,,245.0,15,,0.0,1,1,ykdzfw2h,,,,,0
16,wr4oyk0w,BLU_23,0,45,45,survey,Completion,2024-05-14 08:36:05.856731,1,,,253.0,16,,0.0,1,1,ykdzfw2h,,,,,0
17,69gxbqoq,BLU_09,0,45,45,survey,Completion,2024-05-14 08:36:05.863318,1,,,232.0,17,,0.0,1,1,ykdzfw2h,,,,,0
18,275e2ui1,BLU_24,0,45,45,survey,Completion,2024-05-14 08:36:05.869327,1,,,292.0,18,,0.0,1,1,ykdzfw2h,,,,,0
19,bxgty49l,BLU_12,0,45,45,survey,Completion,2024-05-14 08:36:05.876157,1,,,192.0,19,,0.0,1,1,ykdzfw2h,,,,,0
20,tzz523nu,BLU_35,0,45,45,survey,Completion,2024-05-14 08:36:05.883350,1,,,180.0,20,,0.0,1,1,ykdzfw2h,,,,,0
21,n6p6kpol,BLU_11,0,45,45,survey,Completion,2024-05-14 08:36:05.891874,1,,,249.0,21,,0.0,1,1,ykdzfw2h,,,,,0
22,93vk2elh,BLU_25,0,45,45,survey,Completion,2024-05-14 08:36:05.898845,1,,,189.0,22,,0.0,1,1,ykdzfw2h,,,,,0
23,qirmcohg,BLU_07,0,45,45,survey,Completion,2024-05-14 08:36:05.905688,1,,,260.0,23,,0.0,1,1,ykdzfw2h,,,,,0
24,caq3vqi1,BLU_19,0,45,45,survey,Completion,2024-05-14 08:36:05.913204,1,,,211.0,24,,0.0,1,1,ykdzfw2h,,,,,0
25,dlal68fq,BLU_21,0,45,45,survey,Completion,2024-05-14 08:36:05.919913,1,,,262.0,25,,0.0,1,1,ykdzfw2h,,,,,0
26,icm5jw1w,BLU_17,0,45,45,survey,Completion,2024-05-14 08:36:05.926225,1,,,258.0,26,,0.0,1,1,ykdzfw2h,,,,,0
27,smddi2bm,BLU_08,0,45,45,survey,Completion,2024-05-14 08:36:05.932551,1,,,280.0,27,,0.0,1,1,ykdzfw2h,,,,,0
28,gb3p43e3,BLU_13,0,45,45,survey,Completion,2024-05-14 08:36:05.938936,1,,,271.0,28,,0.0,1,1,ykdzfw2h,,,,,0
29,qmykdy6l,BLU_03,0,45,45,survey,Completion,2024-05-14 08:36:05.945065,1,,,240.0,29,,0.0,1,1,ykdzfw2h,,,,,0
30,aykj1i6i,BLU_32,0,45,45,survey,Completion,2024-05-14 08:36:05.951215,1,,,272.0,30,,0.0,1,1,ykdzfw2h,,,,,0
31,u53icqui,BLU_22,0,45,45,survey,Completion,2024-05-14 08:36:05.957246,1,,,242.0,31,,0.0,1,1,ykdzfw2h,,,,,0
32,2175hu1w,BLU_33,0,45,45,survey,Completion,2024-05-14 08:36:05.964523,1,,,262.0,32,,0.0,1,1,ykdzfw2h,,,,,0
33,8v2hfg8c,BLU_02,0,45,45,survey,Completion,2024-05-14 08:36:06.678625,1,,,267.0,33,,0.0,1,1,ykdzfw2h,,,,,0
34,bv1rchfe,BLU_27,0,45,45,survey,Completion,2024-05-14 08:36:06.688075,1,,,307.0,34,,0.0,1,1,ykdzfw2h,,,,,0
35,5ubvbqrt,BLU_28,0,45,45,survey,Completion,2024-05-14 08:36:06.714192,1,,,261.0,35,,0.0,1,1,ykdzfw2h,,,,,0
36,iwrxhwk3,BLU_16,0,45,45,survey,Completion,2024-05-14 08:36:06.726130,1,,,259.0,36,,0.0,1,1,ykdzfw2h,,,,,0
1,d12v1y8v,,0,0,45,,,,0,,,0.0,1,,0.0,1,1,8s9n331q,,,,,1
2,3va4d2pw,,0,0,45,,,,0,,,0.0,2,,0.0,1,1,8s9n331q,,,,,1
3,p3nqjcl4,,0,0,45,,,,0,,,0.0,3,,0.0,1,1,8s9n331q,,,,,1
1,qo7o2u3r,,0,0,45,,,,0,,,0.0,1,,0.0,1,1,zlyapjtj,,,,,1
2,05njl3hl,,0,0,45,,,,0,,,0.0,2,,0.0,1,1,zlyapjtj,,,,,1
3,jr989sc8,,0,0,45,,,,0,,,0.0,3,,0.0,1,1,zlyapjtj,,,,,1
1,wtf9m9iv,BLU_13,0,45,45,survey,Completion,2024-05-14 11:37:24.500466,1,,,185.0,1,,0.0,1,1,5r4374w0,,,,,0
2,bxtwzkk3,BLU_24,0,45,45,survey,Completion,2024-05-14 11:37:24.518595,1,,,180.0,2,,0.0,1,1,5r4374w0,,,,,0
3,c1re0k0c,BLU_10,0,45,45,survey,Completion,2024-05-14 11:37:24.524345,1,,,160.0,3,,0.0,1,1,5r4374w0,,,,,0
4,hmipyra9,BLU_30,0,45,45,survey,Completion,2024-05-14 11:37:24.529699,1,,,170.0,4,,0.0,1,1,5r4374w0,,,,,0
5,hljd8j8s,BLU_09,0,45,45,survey,Completion,2024-05-14 11:37:24.534611,1,,,165.0,5,,0.0,1,1,5r4374w0,,,,,0
6,1a434dy2,BLU_01,0,45,45,survey,Completion,2024-05-14 11:37:24.540313,1,,,140.0,6,,0.0,1,1,5r4374w0,,,,,0
7,wdb2bmuc,BLU_22,0,45,45,survey,Completion,2024-05-14 11:37:24.545451,1,,,182.0,7,,0.0,1,1,5r4374w0,,,,,0
8,sl0ekey1,BLU_21,0,45,45,survey,Completion,2024-05-14 11:37:24.556850,1,,,173.0,8,,0.0,1,1,5r4374w0,,,,,0
9,1kh6c4dr,BLU_04,0,45,45,survey,Completion,2024-05-14 11:37:24.561857,1,,,165.0,9,,0.0,1,1,5r4374w0,,,,,0
10,lq9jgj3i,BLU_15,0,45,45,survey,Completion,2024-05-14 11:37:24.567055,1,,,166.0,10,,0.0,1,1,5r4374w0,,,,,0
11,f15fo3yu,BLU_02,0,45,45,survey,Completion,2024-05-14 11:37:24.572000,1,,,136.0,11,,0.0,1,1,5r4374w0,,,,,0
12,jkojnnx7,BLU_18,0,45,45,survey,Completion,2024-05-14 11:37:24.576940,1,,,178.0,12,,0.0,1,1,5r4374w0,,,,,0
13,kmp1r22f,BLU_00,0,45,45,survey,Completion,2024-05-14 11:37:24.581850,1,,,178.0,13,,0.0,1,1,5r4374w0,,,,,0
14,8i7prunh,BLU_14,0,45,45,survey,Completion,2024-05-14 11:37:24.587498,1,,,154.0,14,,0.0,1,1,5r4374w0,,,,,0
15,3hy7y8i2,BLU_33,0,45,45,survey,Completion,2024-05-14 11:37:24.596635,1,,,112.0,15,,0.0,1,1,5r4374w0,,,,,0
16,sjcoa1gv,BLU_07,0,45,45,survey,Completion,2024-05-14 11:37:24.604878,1,,,172.0,16,,0.0,1,1,5r4374w0,,,,,0
17,2q16a6o8,BLU_25,0,45,45,survey,Completion,2024-05-14 11:37:24.610376,1,,,184.0,17,,0.0,1,1,5r4374w0,,,,,0
18,ltipsjdv,BLU_16,0,45,45,survey,Completion,2024-05-14 11:37:24.623245,1,,,196.0,18,,0.0,1,1,5r4374w0,,,,,0
19,zlb86qtx,BLU_11,0,45,45,survey,Completion,2024-05-14 11:37:24.629037,1,,,164.0,19,,0.0,1,1,5r4374w0,,,,,0
20,dtjatgej,BLU_31,0,45,45,survey,Completion,2024-05-14 11:37:24.634289,1,,,165.0,20,,0.0,1,1,5r4374w0,,,,,0
21,hlta2msa,BLU_08,0,45,45,survey,Completion,2024-05-14 11:37:24.639242,1,,,169.0,21,,0.0,1,1,5r4374w0,,,,,0
22,48s50490,BLU_05,0,45,45,survey,Completion,2024-05-14 11:37:24.648088,1,,,167.0,22,,0.0,1,1,5r4374w0,,,,,0
23,ds7gf3vg,BLU_17,0,45,45,survey,Completion,2024-05-14 11:37:24.653906,1,,,167.0,23,,0.0,1,1,5r4374w0,,,,,0
24,mz0ciadv,BLU_27,0,45,45,survey,Completion,2024-05-14 11:37:24.659344,1,,,167.0,24,,0.0,1,1,5r4374w0,,,,,0
25,yglobngj,BLU_26,0,45,45,survey,Completion,2024-05-14 11:37:24.665575,1,,,100.0,25,,0.0,1,1,5r4374w0,,,,,0
26,yv0td6xe,BLU_28,0,45,45,survey,Completion,2024-05-14 11:37:24.671635,1,,,200.0,26,,0.0,1,1,5r4374w0,,,,,0
27,g73l9vdl,BLU_06,0,45,45,survey,Completion,2024-05-14 11:37:24.676906,1,,,160.0,27,,0.0,1,1,5r4374w0,,,,,0
28,egh0i91b,BLU_03,0,45,45,survey,Completion,2024-05-14 11:37:24.682155,1,,,185.0,28,,0.0,1,1,5r4374w0,,,,,0
29,jpp7s5r6,BLU_20,0,45,45,survey,Completion,2024-05-14 11:37:24.687546,1,,,195.0,29,,0.0,1,1,5r4374w0,,,,,0
30,2qhev8bl,BLU_19,0,45,45,survey,Completion,2024-05-14 11:37:24.692581,1,,,160.0,30,,0.0,1,1,5r4374w0,,,,,0
31,ohwklw50,BLU_35,0,45,45,survey,Completion,2024-05-14 11:37:25.401027,1,,,125.0,31,,0.0,1,1,5r4374w0,,,,,0
32,5a15tl23,BLU_32,0,45,45,survey,Completion,2024-05-14 11:37:25.411768,1,,,215.0,32,,0.0,1,1,5r4374w0,,,,,0
33,wkfflns4,BLU_34,0,45,45,survey,Completion,2024-05-14 11:37:25.425153,1,,,125.0,33,,0.0,1,1,5r4374w0,,,,,0
34,tjyqeoev,BLU_29,0,45,45,survey,Completion,2024-05-14 11:37:25.437066,1,,,185.0,34,,0.0,1,1,5r4374w0,,,,,0
35,ka3iiv5c,BLU_23,0,45,45,survey,Completion,2024-05-14 11:37:25.446780,1,,,150.0,35,,0.0,1,1,5r4374w0,,,,,0
36,wdvxec6n,BLU_12,0,45,45,survey,Completion,2024-05-14 11:37:25.461369,1,,,200.0,36,,0.0,1,1,5r4374w0,,,,,0
1,5g5klg55,,0,44,45,survey,Questions,2024-05-14 13:55:55.572281,1,,,0.0,1,,0.0,1,1,o4zvte65,,,,,1
2,7gs5ykx6,,0,44,45,survey,Questions,2024-05-14 13:55:55.594863,1,,,0.0,2,,0.0,1,1,o4zvte65,,,,,1
3,ihvkjx40,,0,44,45,survey,Questions,2024-05-14 13:55:55.605042,1,,,0.0,3,,0.0,1,1,o4zvte65,,,,,1
1,vgs79s7u,BLU_22,0,45,45,survey,Completion,2024-05-16 08:39:45.949310,1,,,185.0,1,,0.0,1,1,v0bpsxm2,,,,,0
2,58qtb8v6,BLU_08,0,45,45,survey,Completion,2024-05-16 08:39:45.990554,1,,,165.0,2,,0.0,1,1,v0bpsxm2,,,,,0
3,b3u444ci,BLU_27,0,45,45,survey,Completion,2024-05-16 08:39:46.001907,1,,,166.0,3,,0.0,1,1,v0bpsxm2,,,,,0
4,ovi5mgfs,BLU_25,0,45,45,survey,Completion,2024-05-16 08:39:46.010797,1,,,155.0,4,,0.0,1,1,v0bpsxm2,,,,,0
5,txnxowyb,BLU_20,0,45,45,survey,Completion,2024-05-16 08:39:46.017819,1,,,162.0,5,,0.0,1,1,v0bpsxm2,,,,,0
6,u3tex7e3,BLU_23,0,45,45,survey,Completion,2024-05-16 08:39:46.025465,1,,,166.0,6,,0.0,1,1,v0bpsxm2,,,,,0
7,ij2rrhyx,BLU_24,0,45,45,survey,Completion,2024-05-16 08:39:46.039801,1,,,134.0,7,,0.0,1,1,v0bpsxm2,,,,,0
