session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
ykdzfw2h,1,rggxlrld,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,2,zu5rxx67,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,3,77a6ed9a,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,4,a8gna0pr,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,5,ry0nc01c,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,6,iw6538t5,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,7,p8983tf0,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,8,6ul57k0b,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,9,3o2kadzu,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,10,maxxa0b9,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,11,wmkt6s6s,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,12,7ikal8ir,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,13,6whe0107,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,14,10hb91v0,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,15,brcpj4zp,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,16,wr4oyk0w,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,17,69gxbqoq,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,18,275e2ui1,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,19,bxgty49l,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,20,tzz523nu,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,21,n6p6kpol,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,22,93vk2elh,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,23,qirmcohg,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,24,caq3vqi1,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,25,dlal68fq,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,26,icm5jw1w,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,27,smddi2bm,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,28,gb3p43e3,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,29,qmykdy6l,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,30,aykj1i6i,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,31,u53icqui,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,32,2175hu1w,0,,InitializeParticipant,1715675765,1,0,0
ykdzfw2h,33,8v2hfg8c,0,,InitializeParticipant,1715675766,1,0,0
ykdzfw2h,34,bv1rchfe,0,,InitializeParticipant,1715675766,1,0,0
ykdzfw2h,35,5ubvbqrt,0,,InitializeParticipant,1715675766,1,0,0
ykdzfw2h,36,iwrxhwk3,0,,InitializeParticipant,1715675766,1,0,0
ykdzfw2h,35,5ubvbqrt,1,introduction,Welcome,1715675773,1,0,0
ykdzfw2h,17,69gxbqoq,1,introduction,Welcome,1715675774,1,0,0
ykdzfw2h,32,2175hu1w,1,introduction,Welcome,1715675775,1,0,0
ykdzfw2h,15,brcpj4zp,1,introduction,Welcome,1715675776,1,0,0
ykdzfw2h,18,275e2ui1,1,introduction,Welcome,1715675779,1,0,0
ykdzfw2h,23,qirmcohg,1,introduction,Welcome,1715675781,1,0,0
