participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.iteration,player.num_correct,player.elapsed_time,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,vn8gqjnw,,0,0,45,,,,0,,,0.0,1,,0.0,0,0,0.0,1,1,e5te6pxl,,,,,1
2,40z23fb0,,0,0,45,,,,0,,,0.0,2,,0.0,0,0,0.0,1,1,e5te6pxl,,,,,1
3,gu2dkpsr,,0,0,45,,,,0,,,0.0,3,,0.0,0,0,0.0,1,1,e5te6pxl,,,,,1
1,4bbuo5ay,,0,0,45,,,,0,,,0.0,1,,0.0,0,0,0.0,1,1,qs4xnsyl,,,,,1
2,8wsn6r2x,,0,0,45,,,,0,,,0.0,2,,0.0,0,0,0.0,1,1,qs4xnsyl,,,,,1
3,akyusd70,,0,0,45,,,,0,,,0.0,3,,0.0,0,0,0.0,1,1,qs4xnsyl,,,,,1
1,rggxlrld,BLU_20,0,45,45,survey,Completion,2024-05-14 08:36:05.737249,1,,,238.0,1,,73.0,1,73,239.2863268852234,1,1,ykdzfw2h,,,,,0
2,zu5rxx67,BLU_30,0,45,45,survey,Completion,2024-05-14 08:36:05.755470,1,,,256.0,2,,88.0,1,88,238.99806189537048,1,1,ykdzfw2h,,,,,0
3,77a6ed9a,BLU_26,0,45,45,survey,Completion,2024-05-14 08:36:05.762273,1,,,215.0,3,,82.0,1,82,239.20360898971558,1,1,ykdzfw2h,,,,,0
4,a8gna0pr,BLU_18,0,45,45,survey,Completion,2024-05-14 08:36:05.768988,1,,,265.0,4,,100.0,1,100,239.51523113250732,1,1,ykdzfw2h,,,,,0
5,ry0nc01c,BLU_10,0,45,45,survey,Completion,2024-05-14 08:36:05.775962,1,,,248.0,5,,114.0,1,114,239.25503706932068,1,1,ykdzfw2h,,,,,0
