participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.final_payoff,participant.payoff_list,participant.task_score,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.seconds_for_sliders,session.config.name,session.config.seconds_per_round,session.config.real_world_currency_per_point,session.config.participation_fee,session.params,introduction.1.player.id_in_group,introduction.1.player.role,introduction.1.player.payoff,introduction.1.group.id_in_subsession,introduction.1.subsession.round_number,sliders.1.player.id_in_group,sliders.1.player.role,sliders.1.player.payoff,sliders.1.player.iteration,sliders.1.player.num_correct,sliders.1.player.elapsed_time,sliders.1.group.id_in_subsession,sliders.1.subsession.round_number,live_bargaining.1.player.id_in_group,live_bargaining.1.player.role,live_bargaining.1.player.payoff,live_bargaining.1.player.accepted_offer,live_bargaining.1.player.payoff_this_round,live_bargaining.1.player.end_time,live_bargaining.1.group.id_in_subsession,live_bargaining.1.group.last_offer_id,live_bargaining.1.subsession.round_number,live_bargaining.1.subsession.start_time,live_bargaining.1.subsession.expiry,live_bargaining.2.player.id_in_group,live_bargaining.2.player.role,live_bargaining.2.player.payoff,live_bargaining.2.player.accepted_offer,live_bargaining.2.player.payoff_this_round,live_bargaining.2.player.end_time,live_bargaining.2.group.id_in_subsession,live_bargaining.2.group.last_offer_id,live_bargaining.2.subsession.round_number,live_bargaining.2.subsession.start_time,live_bargaining.2.subsession.expiry,live_bargaining.3.player.id_in_group,live_bargaining.3.player.role,live_bargaining.3.player.payoff,live_bargaining.3.player.accepted_offer,live_bargaining.3.player.payoff_this_round,live_bargaining.3.player.end_time,live_bargaining.3.group.id_in_subsession,live_bargaining.3.group.last_offer_id,live_bargaining.3.subsession.round_number,live_bargaining.3.subsession.start_time,live_bargaining.3.subsession.expiry,live_bargaining.4.player.id_in_group,live_bargaining.4.player.role,live_bargaining.4.player.payoff,live_bargaining.4.player.accepted_offer,live_bargaining.4.player.payoff_this_round,live_bargaining.4.player.end_time,live_bargaining.4.group.id_in_subsession,live_bargaining.4.group.last_offer_id,live_bargaining.4.subsession.round_number,live_bargaining.4.subsession.start_time,live_bargaining.4.subsession.expiry,live_bargaining.5.player.id_in_group,live_bargaining.5.player.role,live_bargaining.5.player.payoff,live_bargaining.5.player.accepted_offer,live_bargaining.5.player.payoff_this_round,live_bargaining.5.player.end_time,live_bargaining.5.group.id_in_subsession,live_bargaining.5.group.last_offer_id,live_bargaining.5.subsession.round_number,live_bargaining.5.subsession.start_time,live_bargaining.5.subsession.expiry,live_bargaining.6.player.id_in_group,live_bargaining.6.player.role,live_bargaining.6.player.payoff,live_bargaining.6.player.accepted_offer,live_bargaining.6.player.payoff_this_round,live_bargaining.6.player.end_time,live_bargaining.6.group.id_in_subsession,live_bargaining.6.group.last_offer_id,live_bargaining.6.subsession.round_number,live_bargaining.6.subsession.start_time,live_bargaining.6.subsession.expiry,survey.1.player.id_in_group,survey.1.player.role,survey.1.player.payoff,survey.1.player.own_strategy,survey.1.player.other_players_strategy,survey.1.player.pilot_difficulty,survey.1.player.pilot_explanation,survey.1.player.pilot_interface,survey.1.player.pilot_time,survey.1.player.research_question,survey.1.player.comments,survey.1.player.dummy_player_axiom,survey.1.player.symmetry_axiom,survey.1.player.efficiency_axiom,survey.1.player.linearity_additivity_axiom,survey.1.player.linearity_HD1_axiom,survey.1.player.stability_axiom,survey.1.group.id_in_subsession,survey.1.subsession.round_number
1,vn8gqjnw,,0,0,45,,,,0,,,0.0,,[],,e5te6pxl,,,,,1,240,treatment_y_10,300,0.15,10.0,"{'trial_delay': 1.0, 'retry_delay': 0.1, 'num_sliders': 150, 'num_columns': 1, 'attempts_per_slider': 10}",1,,0.0,1,1,1,,0.0,0,0,0.0,1,1,3,,0.0,0,0,inf,1,0,1,inf,inf,2,,0.0,0,0,inf,1,0,2,inf,inf,3,,0.0,0,0,inf,1,0,3,inf,inf,1,,0.0,0,0,inf,1,0,4,inf,inf,2,,0.0,0,0,inf,1,0,5,inf,inf,3,,0.0,0,0,inf,1,0,6,inf,inf,1,,0.0,,,,,,,,,,,,,,,1,1
2,40z23fb0,,0,0,45,,,,0,,,0.0,,[],,e5te6pxl,,,,,1,240,treatment_y_10,300,0.15,10.0,"{'trial_delay': 1.0, 'retry_delay': 0.1, 'num_sliders': 150, 'num_columns': 1, 'attempts_per_slider': 10}",2,,0.0,1,1,2,,0.0,0,0,0.0,1,1,2,,0.0,0,0,inf,1,0,1,inf,inf,3,,0.0,0,0,inf,1,0,2,inf,inf,1,,0.0,0,0,inf,1,0,3,inf,inf,3,,0.0,0,0,inf,1,0,4,inf,inf,1,,0.0,0,0,inf,1,0,5,inf,inf,2,,0.0,0,0,inf,1,0,6,inf,inf,2,,0.0,,,,,,,,,,,,,,,1,1
3,gu2dkpsr,,0,0,45,,,,0,,,0.0,,[],,e5te6pxl,,,,,1,240,treatment_y_10,300,0.15,10.0,"{'trial_delay': 1.0, 'retry_delay': 0.1, 'num_sliders': 150, 'num_columns': 1, 'attempts_per_slider': 10}",3,,0.0,1,1,3,,0.0,0,0,0.0,1,1,1,,0.0,0,0,inf,1,0,1,inf,inf,1,,0.0,0,0,inf,1,0,2,inf,inf,2,,0.0,0,0,inf,1,0,3,inf,inf,2,,0.0,0,0,inf,1,0,4,inf,inf,3,,0.0,0,0,inf,1,0,5,inf,inf,1,,0.0,0,0,inf,1,0,6,inf,inf,3,,0.0,,,,,,,,,,,,,,,1,1
1,4bbuo5ay,,0,0,45,,,,0,,,0.0,,[],,qs4xnsyl,,,,,1,240,treatment_y_10,300,0.15,10.0,"{'trial_delay': 1.0, 'retry_delay': 0.1, 'num_sliders': 150, 'num_columns': 1, 'attempts_per_slider': 10}",1,,0.0,1,1,1,,0.0,0,0,0.0,1,1,3,,0.0,0,0,inf,1,0,1,inf,inf,1,,0.0,0,0,inf,1,0,2,inf,inf,2,,0.0,0,0,inf,1,0,3,inf,inf,2,,0.0,0,0,inf,1,0,4,inf,inf,3,,0.0,0,0,inf,1,0,5,inf,inf,3,,0.0,0,0,inf,1,0,6,inf,inf,1,,0.0,,,,,,,,,,,,,,,1,1
2,8wsn6r2x,,0,0,45,,,,0,,,0.0,,[],,qs4xnsyl,,,,,1,240,treatment_y_10,300,0.15,10.0,"{'trial_delay': 1.0, 'retry_delay': 0.1, 'num_sliders': 150, 'num_columns': 1, 'attempts_per_slider': 10}",2,,0.0,1,1,2,,0.0,0,0,0.0,1,1,1,,0.0,0,0,inf,1,0,1,inf,inf,2,,0.0,0,0,inf,1,0,2,inf,inf,3,,0.0,0,0,inf,1,0,3,inf,inf,3,,0.0,0,0,inf,1,0,4,inf,inf,1,,0.0,0,0,inf,1,0,5,inf,inf,2,,0.0,0,0,inf,1,0,6,inf,inf,2,,0.0,,,,,,,,,,,,,,,1,1
3,akyusd70,,0,0,45,,,,0,,,0.0,,[],,qs4xnsyl,,,,,1,240,treatment_y_10,300,0.15,10.0,"{'trial_delay': 1.0, 'retry_delay': 0.1, 'num_sliders': 150, 'num_columns': 1, 'attempts_per_slider': 10}",3,,0.0,1,1,3,,0.0,0,0,0.0,1,1,2,,0.0,0,0,inf,1,0,1,inf,inf,3,,0.0,0,0,inf,1,0,2,inf,inf,1,,0.0,0,0,inf,1,0,3,inf,inf,1,,0.0,0,0,inf,1,0,4,inf,inf,2,,0.0,0,0,inf,1,0,5,inf,inf,1,,0.0,0,0,inf,1,0,6,inf,inf,3,,0.0,,,,,,,,,,,,,,,1,1
1,rggxlrld,BLU_20,0,45,45,survey,Completion,2024-05-14 08:36:05.737249,1,,,238.0,46,"[33, 33, 33, 33, 33, 33]",73,ykdzfw2h,,,,,0,240,treatment_y_10,300,0.15,10.0,"{'trial_delay': 1.0, 'retry_delay': 0.1, 'num_sliders': 150, 'num_columns': 1, 'attempts_per_slider': 10}",1,,0.0,1,1,1,,73.0,1,73,239.2863268852234,1,1,3,,0.0,2,33,1715677540.9659488,1,2,1,1715677239.6267822,1715677539.626809,3,,33.0,1,33,1715677903.5008597,1,3,2,1715677602.9431021,1715677902.9431274,2,,33.0,5,33,1715678329.5961044,2,5,3,1715678029.3258271,1715678329.3258498,3,,33.0,1,33,1715678785.7304313,2,1,4,1715678485.1122437,1715678785.1122742,2,,33.0,2,33,1715679122.7540336,2,2,5,1715678822.4382486,1715679122.438271,2,,33.0,4,33,1715679460.8736577,1,4,6,1715679160.0062764,1715679460.006299,1,,0.0,make it as equal as possible and giving one extra point to A (34),"I think everyone had a similar strategy in the end, as the outcome of every round was the same.",Easy,Neutral,Very well,Just right,observing the change from the first to the last session to see how people adapt to the bargaining situation,,Strongly Disagree,Strongly Agree,Neutral,No opinion,Agree,Agree,1,1
2,zu5rxx67,BLU_30,0,45,45,survey,Completion,2024-05-14 08:36:05.755470,1,,,256.0,49,"[33, 33, 34, 34, 33, 34]",88,ykdzfw2h,,,,,0,240,treatment_y_10,300,0.15,10.0,"{'trial_delay': 1.0, 'retry_delay': 0.1, 'num_sliders': 150, 'num_columns': 1, 'attempts_per_slider': 10}",2,,0.0,1,1,2,,88.0,1,88,238.99806189537048,1,1,3,,0.0,3,33,1715677540.8971708,2,6,1,1715677239.6267822,1715677539.626809,3,,33.0,1,33,1715677903.6667702,2,3,2,1715677602.9431021,1715677902.9431274,1,,34.0,5,34,1715678330.1081183,2,5,3,1715678029.3258271,1715678329.3258498,1,,34.0,1,34,1715678785.505889,2,1,4,1715678485.1122437,1715678785.1122742,2,,33.0,2,33,1715679123.2146761,1,3,5,1715678822.4382486,1715679122.438271,1,,34.0,4,34,1715679460.405394,1,4,6,1715679160.0062764,1715679460.006299,2,,0.0,"Be the most fair, and including 3 people for higher budget",most of them went for fairness also,Medium difficulty,Neutral,Very well,Just right,Are people willing to take risk if they don't know the point conversion?,no,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1,1
3,77a6ed9a,BLU_26,0,45,45,survey,Completion,2024-05-14 08:36:05.762273,1,,,215.0,43,"[33, 33, 34, 33, 33, 0]",82,ykdzfw2h,,,,,0,240,treatment_y_10,300,0.15,10.0,"{'trial_delay': 1.0, 'retry_delay': 0.1, 'num_sliders': 150, 'num_columns': 1, 'attempts_per_slider': 10}",3,,0.0,1,1,3,,82.0,1,82,239.20360898971558,1,1,2,,0.0,2,33,1715677540.1362245,1,2,1,1715677239.6267822,1715677539.626809,1,,33.0,1,33,1715677903.3089778,2,3,2,1715677602.9431021,1715677902.9431274,1,,34.0,1,34,1715678329.5285547,1,2,3,1715678029.3258271,1715678329.3258498,2,,33.0,1,33,1715678785.575319,2,1,4,1715678485.1122437,1715678785.1122742,3,,33.0,2,33,1715679123.305136,1,3,5,1715678822.4382486,1715679122.438271,2,,0.0,1,0,1715679460.4215064,2,3,6,1715679160.0062764,1715679460.006299,3,,0.0,"i gave 34 to A since it was determinant to have 100 points, and then i gave 33 to B1 and B2 since they have the same impact","it was the same as mine. I wanted to try I new strategy once, but another player preferred to win nothing instead to win less (everybody could win 5 - 5 - 5)",Easy,Well,Well,Just right,how people interact with themselves and what they think is equality,,Disagree,Agree,Agree,Agree,No opinion,Agree,1,1
4,a8gna0pr,BLU_18,0,45,45,survey,Completion,2024-05-14 08:36:05.768988,1,,,265.0,50,"[33, 33, 33, 33, 33, 33]",100,ykdzfw2h,,,,,0,240,treatment_y_10,300,0.15,10.0,"{'trial_delay': 1.0, 'retry_delay': 0.1, 'num_sliders': 150, 'num_columns': 1, 'attempts_per_slider': 10}",4,,0.0,1,1,4,,100.0,1,100,239.51523113250732,1,1,2,,0.0,3,33,1715677540.455939,2,6,1,1715677239.6267822,1715677539.626809,2,,33.0,1,33,1715677903.4105246,2,3,2,1715677602.9431021,1715677902.9431274,3,,33.0,1,33,1715678329.6601212,1,2,3,1715678029.3258271,1715678329.3258498,1,,33.0,1,33,1715678785.6105857,1,2,4,1715678485.1122437,1715678785.1122742,3,,33.0,2,33,1715679122.8943868,2,2,5,1715678822.4382486,1715679122.438271,3,,33.0,4,33,1715679460.7413056,1,4,6,1715679160.0062764,1715679460.006299,4,,0.0,I always wanted to go for 33 points for three players but allowed a to have 34 because the player must be in the group to have higher points,"I think everyone did not want to risk so they went for 33 all around or A34 and the rest 33. No one wanted to risk a two group without A especially,",Medium difficulty,Neutral,Very well,Way too much,How much are people ready to risk losing something they are not sure they could lose?,The chat time of 5 minutes is too long. 3 minutes would be more than enough.,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,No opinion,Strongly Agree,1,1
